Type,Air Temperature [°C],Process Temperature [°C],Rotational Speed [rpm],Torque [Nm],Tool Wear [min],Failure Type,DateTime,Failure Type Prediction,RUL_Power Failure,RUL_Tool Wear Failure,RUL_Overstrain Failure,RUL_Heat Dissipation Failure
H,27.75,38.150000000000034,1535.0,43.9,154.0,No Failure,2022-01-11 03:56:00,No Failure,8,702,116,50
L,26.55000000000001,37.55000000000001,1667.0,30.4,92.0,No Failure,2022-01-12 13:14:00,No Failure,6,700,114,48
L,25.150000000000034,36.35000000000002,1398.0,60.4,12.0,No Failure,2022-01-02 15:16:00,No Failure,4,698,112,46
L,27.450000000000045,38.85000000000002,1574.0,35.0,133.0,No Failure,2022-01-12 08:04:00,No Failure,2,696,110,44
L,31.350000000000023,40.25,1284.0,70.6,94.0,Power Failure,2022-01-07 20:32:00,Power Failure,14,694,108,42
L,28.950000000000045,38.35000000000002,1324.0,52.4,171.0,No Failure,2022-01-09 16:02:00,No Failure,12,692,106,40
H,26.75,37.950000000000045,1324.0,54.6,185.0,No Failure,2022-01-12 17:02:00,No Failure,10,690,104,38
L,28.25,38.650000000000034,1390.0,52.5,144.0,No Failure,2022-01-09 06:54:00,No Failure,8,688,102,36
L,28.950000000000045,37.450000000000045,1502.0,48.9,160.0,No Failure,2022-01-05 12:26:00,No Failure,6,686,100,34
L,28.450000000000045,37.450000000000045,1684.0,32.8,53.0,No Failure,2022-01-05 00:04:00,No Failure,4,684,98,32
L,26.450000000000045,37.450000000000045,1533.0,40.7,106.0,No Failure,2022-01-12 16:00:00,No Failure,2,682,96,30
L,24.850000000000023,35.75,1296.0,69.1,153.0,Power Failure,2022-01-02 14:08:00,Power Failure,40,680,94,28
M,25.75,36.950000000000045,1488.0,37.3,30.0,No Failure,2022-01-13 07:20:00,No Failure,38,678,92,26
M,30.150000000000034,39.05000000000001,1505.0,36.7,78.0,No Failure,2022-01-06 04:12:00,No Failure,36,676,90,24
L,26.75,37.950000000000045,1602.0,38.2,58.0,No Failure,2022-01-03 00:06:00,No Failure,34,674,88,22
L,26.650000000000034,37.450000000000045,1903.0,22.3,145.0,No Failure,2022-01-14 17:32:00,No Failure,32,672,86,20
M,31.75,40.950000000000045,1437.0,48.3,110.0,No Failure,2022-01-07 23:40:00,No Failure,30,670,84,18
L,25.350000000000023,36.450000000000045,1497.0,43.9,91.0,No Failure,2022-01-13 00:12:00,No Failure,28,668,82,16
L,27.55000000000001,37.450000000000045,1512.0,36.2,172.0,No Failure,2022-01-03 20:52:00,No Failure,26,666,80,14
L,26.05000000000001,36.85000000000002,1341.0,43.8,171.0,No Failure,2022-01-03 01:40:00,No Failure,24,664,78,12
M,26.450000000000045,37.950000000000045,1458.0,41.9,61.0,No Failure,2022-01-02 21:22:00,No Failure,22,662,76,10
L,25.350000000000023,37.25,1650.0,34.6,142.0,No Failure,2022-01-01 18:36:00,No Failure,20,660,74,8
L,30.55000000000001,40.05000000000001,1336.0,46.8,179.0,No Failure,2022-01-08 14:30:00,No Failure,18,658,72,6
M,26.55000000000001,37.950000000000045,1368.0,56.8,72.0,No Failure,2022-01-02 21:32:00,No Failure,16,656,70,4
L,28.850000000000023,38.75,1679.0,29.8,64.0,No Failure,2022-01-09 14:40:00,No Failure,14,654,68,2
L,31.25,39.650000000000034,1366.0,50.9,200.0,Heat Dissipation Failure,2022-01-07 13:26:00,Heat Dissipation Failure,12,652,66,148
L,28.05000000000001,38.150000000000034,1202.0,59.5,40.0,No Failure,2022-01-11 02:24:00,No Failure,10,650,64,146
L,26.450000000000045,37.85000000000002,1334.0,48.0,42.0,No Failure,2022-01-02 21:08:00,No Failure,8,648,62,144
L,28.950000000000045,40.150000000000034,1595.0,31.9,134.0,No Failure,2022-01-12 02:26:00,No Failure,6,646,60,142
L,31.55000000000001,40.25,1316.0,59.3,137.0,No Failure,2022-01-07 18:24:00,No Failure,4,644,58,140
M,26.850000000000023,38.150000000000034,1540.0,38.1,182.0,No Failure,2022-01-02 20:00:00,No Failure,2,642,56,138
L,28.350000000000023,38.35000000000002,2633.0,12.2,17.0,Power Failure,2022-01-10 17:42:00,Power Failure,24,640,54,136
H,28.05000000000001,37.75,1906.0,22.9,165.0,No Failure,2022-01-10 22:22:00,No Failure,22,638,52,134
L,25.350000000000023,36.450000000000045,1671.0,29.4,136.0,No Failure,2022-01-13 00:46:00,No Failure,20,636,50,132
L,26.950000000000045,37.950000000000045,1486.0,40.7,39.0,No Failure,2022-01-14 10:52:00,No Failure,18,634,48,130
H,32.05000000000001,41.35000000000002,1546.0,41.4,58.0,No Failure,2022-01-08 04:12:00,No Failure,16,632,46,128
M,29.25,38.85000000000002,1234.0,55.8,152.0,No Failure,2022-01-09 04:18:00,No Failure,14,630,44,126
M,25.650000000000034,35.75,1802.0,25.8,43.0,No Failure,2022-01-03 05:48:00,No Failure,12,628,42,124
L,28.25,37.450000000000045,1523.0,38.5,124.0,No Failure,2022-01-09 23:42:00,No Failure,10,626,40,122
M,30.150000000000034,39.25,1909.0,23.2,25.0,No Failure,2022-01-06 11:48:00,No Failure,8,624,38,120
L,28.850000000000023,38.75,1392.0,52.9,173.0,No Failure,2022-01-10 11:36:00,No Failure,6,622,36,118
M,27.450000000000045,37.25,1283.0,62.1,83.0,No Failure,2022-01-04 15:26:00,No Failure,4,620,34,116
L,24.55000000000001,35.650000000000034,1468.0,39.2,35.0,No Failure,2022-01-02 01:52:00,No Failure,2,618,32,114
L,24.25,35.25,2833.0,5.6,213.0,Power Failure,2022-01-02 04:14:00,Power Failure,106,616,30,112
L,26.450000000000045,37.650000000000034,1561.0,32.6,201.0,No Failure,2022-01-14 13:04:00,No Failure,104,614,28,110
L,28.75,38.650000000000034,1490.0,38.1,125.0,No Failure,2022-01-10 10:58:00,No Failure,102,612,26,108
H,30.350000000000023,39.150000000000034,1393.0,47.5,130.0,No Failure,2022-01-06 04:52:00,No Failure,100,610,24,106
L,26.05000000000001,36.150000000000034,1568.0,36.0,92.0,No Failure,2022-01-01 09:30:00,No Failure,98,608,22,104
L,25.950000000000045,35.55000000000001,1537.0,40.8,169.0,No Failure,2022-01-03 18:10:00,No Failure,96,606,20,102
M,25.450000000000045,36.55000000000001,1392.0,41.2,178.0,No Failure,2022-01-13 17:34:00,No Failure,94,604,18,100
L,30.150000000000034,38.650000000000034,1421.0,41.4,102.0,No Failure,2022-01-06 07:20:00,No Failure,92,602,16,98
L,29.850000000000023,37.85000000000002,1449.0,48.8,181.0,No Failure,2022-01-07 01:30:00,No Failure,90,600,14,96
L,25.350000000000023,37.25,1357.0,50.1,137.0,No Failure,2022-01-01 18:32:00,No Failure,88,598,12,94
L,26.450000000000045,37.85000000000002,1517.0,41.2,64.0,No Failure,2022-01-02 21:24:00,No Failure,86,596,10,92
M,27.950000000000045,37.05000000000001,1454.0,44.4,19.0,No Failure,2022-01-05 10:40:00,No Failure,84,594,8,90
H,25.950000000000045,37.35000000000002,1530.0,40.2,65.0,No Failure,2022-01-02 18:28:00,No Failure,82,592,6,88
L,28.350000000000023,39.55000000000001,1619.0,32.7,85.0,No Failure,2022-01-11 14:16:00,No Failure,80,590,4,86
L,27.350000000000023,38.650000000000034,1283.0,52.4,112.0,No Failure,2022-01-12 07:50:00,No Failure,78,588,2,84
H,31.450000000000045,40.25,1460.0,53.7,214.0,No Failure,2022-01-07 19:16:00,Overstrain Failure,76,586,144,82
M,31.950000000000045,41.25,1518.0,42.4,105.0,No Failure,2022-01-08 02:02:00,No Failure,74,584,142,80
H,26.150000000000034,35.75,1420.0,39.2,176.0,No Failure,2022-01-03 18:16:00,No Failure,72,582,140,78
M,27.450000000000045,36.85000000000002,1539.0,36.1,76.0,No Failure,2022-01-04 18:14:00,No Failure,70,580,138,76
H,25.850000000000023,35.55000000000001,1547.0,36.8,186.0,No Failure,2022-01-03 15:40:00,No Failure,68,578,136,74
L,28.05000000000001,37.55000000000001,1678.0,30.5,142.0,No Failure,2022-01-09 21:06:00,No Failure,66,576,134,72
L,28.650000000000034,39.450000000000045,1516.0,35.6,14.0,No Failure,2022-01-12 00:52:00,No Failure,64,574,132,70
L,27.05000000000001,36.950000000000045,1387.0,48.7,4.0,No Failure,2022-01-04 11:30:00,No Failure,62,572,130,68
M,27.55000000000001,38.25,1410.0,44.5,105.0,No Failure,2022-01-11 06:06:00,No Failure,60,570,128,66
M,29.55000000000001,38.450000000000045,1417.0,45.2,185.0,No Failure,2022-01-06 00:04:00,No Failure,58,568,126,64
M,27.150000000000034,37.05000000000001,1586.0,37.9,129.0,No Failure,2022-01-03 20:18:00,No Failure,56,566,124,62
L,30.650000000000034,40.25,1368.0,49.5,10.0,No Failure,2022-01-08 15:08:00,No Failure,54,564,122,60
L,27.05000000000001,38.150000000000034,1463.0,38.9,160.0,No Failure,2022-01-14 09:14:00,No Failure,52,562,120,58
L,26.950000000000045,38.25,1594.0,33.3,147.0,No Failure,2022-01-02 22:26:00,No Failure,50,560,118,56
M,23.950000000000045,34.950000000000045,1350.0,53.3,22.0,No Failure,2022-01-02 04:34:00,No Failure,48,558,116,54
L,29.850000000000023,37.650000000000034,1532.0,39.4,2.0,No Failure,2022-01-07 02:14:00,No Failure,46,556,114,52
L,31.55000000000001,40.25,1702.0,31.2,144.0,No Failure,2022-01-07 18:30:00,No Failure,44,554,112,50
L,30.75,40.25,1698.0,33.8,202.0,No Failure,2022-01-08 11:24:00,No Failure,42,552,110,48
L,27.05000000000001,36.25,1667.0,29.0,199.0,No Failure,2022-01-04 02:44:00,No Failure,40,550,108,46
L,31.75,40.85000000000002,1626.0,31.4,209.0,No Failure,2022-01-08 06:02:00,No Failure,38,548,106,44
H,25.450000000000045,36.150000000000034,1640.0,30.9,79.0,No Failure,2022-01-01 12:04:00,No Failure,36,546,104,42
M,26.850000000000023,36.85000000000002,1575.0,35.3,47.0,No Failure,2022-01-01 03:12:00,No Failure,34,544,102,40
L,24.75,35.950000000000045,1422.0,48.7,215.0,No Failure,2022-01-02 01:04:00,No Failure,32,542,100,38
L,26.55000000000001,37.950000000000045,1620.0,34.8,112.0,No Failure,2022-01-02 21:58:00,No Failure,30,540,98,36
L,29.05000000000001,38.25,1381.0,49.8,115.0,No Failure,2022-01-05 17:34:00,No Failure,28,538,96,34
M,29.650000000000034,39.35000000000002,1416.0,49.0,136.0,No Failure,2022-01-09 00:58:00,No Failure,26,536,94,32
M,29.950000000000045,39.25,1467.0,43.4,33.0,No Failure,2022-01-06 00:50:00,No Failure,24,534,92,30
L,27.75,37.35000000000002,1779.0,26.1,169.0,No Failure,2022-01-04 16:26:00,No Failure,22,532,90,28
M,27.25,37.75,1567.0,40.6,87.0,No Failure,2022-01-11 05:50:00,No Failure,20,530,88,26
L,26.950000000000045,36.75,1680.0,27.2,110.0,No Failure,2022-01-03 20:02:00,No Failure,18,528,86,24
L,26.75,36.75,1450.0,47.5,9.0,No Failure,2022-01-01 02:42:00,No Failure,16,526,84,22
L,28.450000000000045,38.55000000000001,1455.0,40.6,82.0,No Failure,2022-01-09 09:02:00,No Failure,14,524,82,20
M,28.55000000000001,38.650000000000034,1465.0,45.2,92.0,No Failure,2022-01-09 06:14:00,No Failure,12,522,80,18
L,29.05000000000001,38.35000000000002,1546.0,40.0,55.0,No Failure,2022-01-10 01:36:00,No Failure,10,520,78,16
L,27.150000000000034,36.650000000000034,1603.0,33.9,203.0,No Failure,2022-01-04 05:30:00,No Failure,8,518,76,14
L,25.150000000000034,36.150000000000034,1538.0,38.5,47.0,No Failure,2022-01-01 14:34:00,No Failure,6,516,74,12
